title,minutes,energy,priority
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
Task,75,high,3
